Country Name,Country Code,Gini index [SI.POV.GINI] - 2021 [YR2021],Price level index (GDP) [PA.NUS.GDP.PLI] - 2021 [YR2021],Consumer price index (2010 = 100) [FP.CPI.TOTL] - 2021 [YR2021],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS] - 2021 [YR2021],UHC service coverage index [SH_UHC_SCI] - 2021 [YR2021]
Iceland,ISL,..,112.283988351667,138.573742998267,0.000106967737793307,90
India,IND,..,27.8212257889918,192.378724699015,3.15934537555664,67
Indonesia,IDN,35.5,33.6062401419005,156.48276998491,5.15704008451705,66
"Iran, Islamic Rep.",IRN,35.5,28.9915941994253,1031.65750196386,30.4480600937139,81
Iraq,IRQ,..,38.2389926252694,127.574201605207,43.4458576871878,64
Ireland,IRL,29.4,88.9296525445722,108.7002317253,0.10098823103923,82
Isle of Man,IMN,..,..,..,..,..
Israel,ISR,37.9,113.233418967196,109.128926968584,0.441424749575518,85
Italy,ITA,34.8,73.9633749348825,112.541250526224,0.112009125283042,82
Jamaica,JAM,39.9,53.9338963739056,181.00906404486,0.457652062306756,75
Japan,JPN,..,90.393968573992,105.211812269292,0.0473044627668744,85
Jordan,JOR,..,45.5595070207623,127.719016475095,0.0776640966166585,71
Kazakhstan,KAZ,29.2,30.3030595939351,218.265731563045,26.8423173327291,84
Kenya,KEN,38.7,38.6104738133398,212.472085832078,1.22792857770901,53
Kiribati,KIR,..,73.5657212195103,105.218806716601,0.043500143330191,53
"Korea, Dem. People's Rep.",PRK,..,..,..,..,80
"Korea, Rep.",KOR,32.9,72.5439514622864,118.669872413341,0.049812574781783,87
Kosovo,XKX,49.4,42.6326878924815,122.267091891806,0.928898942515976,..
Kuwait,KWT,..,67.1615390908667,133.68779685455,..,83
Kyrgyz Republic,KGZ,28.8,23.533553344054,185.228945555436,11.5065410174076,73
Lao PDR,LAO,..,31.2613229822277,148.164378148681,5.38276112647354,60
Latvia,LVA,34.3,54.8923970790689,120.949398596532,1.16511975350878,76
Lebanon,LBN,..,34.8745879413016,612.355015021184,0.00276403839242888,68
Lesotho,LSO,..,41.9126763611117,173.512105268925,4.31788190525398,55
Liberia,LBR,..,43.3967147111521,357.230882302137,21.9156000871056,48
Libya,LBY,..,39.0446075093171,260.082820215574,61.0347089411103,69
Liechtenstein,LIE,..,..,..,..,..
Lithuania,LTU,36.7,52.0353695860457,125.413564341792,0.28612663033099,77
Luxembourg,LUX,32.7,98.6790991945721,118.963508963509,0.00475136757511518,83
"Macao SAR, China",MAC,..,61.1723794398522,145.252360796339,0.000724556273813068,..
North Macedonia,MKD,..,34.41431152744,118.464166666667,0.136921063560563,68
