Year,Country,Ease_of_Living_Rank
1986,Early-demographic dividend,140
1986,Kyrgyz Republic,141
1986,Guyana,143
1986,Eswatini,143
1986,Cabo Verde,144
1986,IDA total,145
1986,Marshall Islands,147
1986,Tuvalu,148
1986,Low & middle income,150
1986,Cameroon,151
1986,IBRD only,152
1986,Lesotho,153
1986,Indonesia,154
1986,Guatemala,155
1986,Lao PDR,156
1986,IDA only,157
1986,Central African Republic,158
1986,Djibouti,159
1986,Cambodia,160
1986,Benin,161
1986,Zimbabwe,162
1986,Fragile and conflict affected situations,163
1986,Middle East & North Africa,164
1986,Sudan,165
1986,Vanuatu,166
1986,Bangladesh,167
1986,Ghana,167
1986,Middle East & North Africa (IDA & IBRD countries),167
1986,Mongolia,168
1986,Morocco,169
1986,Lower middle income,169
1986,IDA & IBRD total,170
1986,Middle East & North Africa (excluding high income),171
1986,Middle income,172
1986,Gabon,173
1986,Haiti,174
1986,Eritrea,175
1986,Sub-Saharan Africa (IDA & IBRD countries),176
1986,Sub-Saharan Africa (excluding high income),177
1986,Sao Tome and Principe,178
1986,Bolivia,179
1986,Iraq,179
1986,Kenya,180
1986,Sub-Saharan Africa,180
1986,Senegal,181
1986,Lebanon,182
1986,Maldives,182
1986,Kiribati,183
1986,Peru,184
1986,Arab World,185
1986,Papua New Guinea,186
1986,Guinea-Bissau,187
1986,India,188
1986,Guinea,189
1986,Nicaragua,190
1986,Nauru,191
1986,"Yemen, Rep.",192
1986,Bhutan,193
1986,Liberia,194
1986,El Salvador,195
1986,Zambia,196
1986,Pakistan,197
1986,Low income,197
1986,"Congo, Rep.",198
1986,Least developed countries: UN classification,199
1986,Ethiopia,200
1986,IDA blend,201
1986,Mauritania,202
1986,Heavily indebted poor countries (HIPC),203
1986,Sierra Leone,204
1986,"Gambia, The",205
1986,Rwanda,206
1986,Togo,207
1986,Mali,208
1986,Nigeria,209
1986,Nepal,210
1986,Namibia,211
1986,Equatorial Guinea,212
1986,South Sudan,213
1986,Comoros,214
1986,Madagascar,214
1986,Myanmar,215
1986,Malawi,216
1986,Burundi,217
1986,Tanzania,218
1986,Burkina Faso,219
1986,Timor-Leste,220
1986,Uganda,221
1986,Somalia,222
1986,Pre-demographic dividend,223
1986,Afghanistan,224
1986,Mozambique,225
1986,"Congo, Dem. Rep.",226
1986,Niger,227
1986,Chad,228
1986,Angola,229
1986,Africa Western and Central,230
1986,Africa Eastern and Southern,231
1987,Switzerland,1
1987,Sweden,2
1987,Norway,3
1987,Spain,4
1987,Japan,5
1987,Belgium,6
1987,France,7
1987,Finland,8
1987,Netherlands,9
1987,Australia,10
1987,United States,11
1987,Canada,12
1987,Austria,13
1987,Iceland,14
1987,Faroe Islands,15
1987,Euro area,16
1987,Germany,17
1987,European Union,18
1987,New Zealand,19
1987,United Kingdom,20
1987,Qatar,21
1987,Puerto Rico,22
1987,Bermuda,23
1987,Italy,24
1987,Denmark,25
1987,Greece,26
1987,Ireland,27
1987,Gibraltar,28
1987,Latvia,30
1987,Singapore,31
1987,OECD members,31
1987,Estonia,32
1987,Cuba,33
1987,Kuwait,34
1987,High income,35
1987,Lithuania,35
1987,British Virgin Islands,36
1987,Cyprus,37
1987,Post-demographic dividend,38
1987,French Polynesia,39
1987,Bahrain,40
1987,Slovenia,41
1987,Dominican Republic,42
1987,Europe & Central Asia,43
1987,Channel Islands,44
1987,Sint Maarten (Dutch part),45
1987,Israel,46
1987,Ukraine,48
1987,Belize,49
1987,St. Martin (French part),50
1987,Late-demographic dividend,51
1987,Curacao,52
1987,North America,53
1987,Suriname,53
1987,Malta,54
1987,Barbados,55
1987,Europe & Central Asia (IDA & IBRD countries),55
1987,Poland,56
1987,Aruba,56
1987,Bulgaria,57
1987,Dominica,57
1987,Isle of Man,59
1987,Sri Lanka,60
1987,Panama,61
1987,St. Vincent and the Grenadines,62
1987,Kosovo,63
1987,Europe & Central Asia (excluding high income),64
1987,Jamaica,65
1987,Caribbean small states,66
1987,Belarus,67
1987,New Caledonia,68
1987,Montenegro,69
1987,Luxembourg,70
1987,Jordan,71
1987,Chile,72
1987,Saudi Arabia,73
1987,Kazakhstan,74
1987,Tajikistan,75
1987,United Arab Emirates,76
1987,Guam,78
1987,Uzbekistan,79
1987,St. Lucia,80
1987,Moldova,80
1987,Brazil,82
1987,Oman,82
1987,Central Europe and the Baltics,83
1987,Brunei Darussalam,84
1987,Serbia,84
1987,Grenada,85
1987,"Korea, Dem. People's Rep.",86
1987,"Bahamas, The",87
1987,Argentina,88
1987,North Macedonia,89
1987,Small states,89
1987,Libya,90
1987,Upper middle income,91
1987,Fiji,92
1987,Costa Rica,93
1987,Azerbaijan,94
1987,Georgia,95
1987,Croatia,96
1987,Botswana,97
1987,Romania,98
1987,Armenia,99
