Year,Country,Economic_Rank
1975,St. Martin (French part),126
1975,St. Vincent and the Grenadines,126
1975,St. Lucia,126
1975,Sri Lanka,126
1975,Albania,127
1975,Angola,127
1975,Africa Western and Central,127
1975,Africa Eastern and Southern,127
1975,Afghanistan,127
1975,China,128
1975,Isle of Man,129
1975,Hungary,130
1975,Ireland,131
1975,Greece,132
1975,Algeria,133
1975,Jordan,134
1975,"Gambia, The",135
1975,Nicaragua,136
1975,Gabon,137
1975,Nauru,138
1975,Papua New Guinea,139
1975,Namibia,140
1975,Panama,141
1975,Thailand,142
1975,Philippines,143
1975,Timor-Leste,144
1975,Tanzania,144
1975,Tunisia,145
1975,Equatorial Guinea,146
1975,Nepal,147
1975,East Asia & Pacific (excluding high income),148
